ditto mark,〃
"as above" mark,仝
p-sound,〇
alphabetical order,ＡＢＣ順
CD player,ＣＤプレイヤー
NHK Symphony Orchestra,Ｎ響
skirt with peek-a-boo hole in rump,Ｏバック
rs232 cable,ＲＳ２３２ケーブル
tee shirt,Ｔシャツ
bikini thong,Ｔバック
(former) regular (stops at every station) Tōhoku-line Shinkansen,あ・うんの呼吸
overt,明白
flagrant,白地
not allowed,明かん
dishonest,悪どい
Jouetsu line express Shinkansen,論う
to garnish,配う
lily-of-the-valley,馬酔木
simply,彼所
childlike,アッと言う間に
er,彼の
you,彼の人
she,彼の方
back-to-front,溢れる
airhead,阿呆陀羅
ah,雨子
saw-edged perch (Niphon spinosus),𩺊
so,彼れ
act properly!,いい加減にしなさい
(in spite of) being old enough to know better,いい歳をして
no, not at all,否否
to be stylish,如何わしい
whatever the case may be,如何なる場合でも
for sure,如何にも
hardly,幾つも
touching,行けない
to dally,弄りまわす
more than usual,何時もより
very easily,いとも簡単に
smart,鯔背
to neigh,嘶く
to tease,嘶き
tortuously,厭に
to be in a fidget,畝り
whoopsie,狼狽える
nasty,海鷂魚
Japanese grenadier anchovy (Coilia nasus),斉魚
style of Japanese folk song associated with Niigata Prefecture,御出でになる
welcome!,おけさ節
blowjob,お座なりになる
huge,悍ましい
breast milk,落っこちる
trembling (with fear),お田
night work,御鍋
fawning,屁
on top of that,御負けに
to screw,御呪い
nappy rash,オムツ気触れ
dressing up,御粧し
chubby person,御目出度う御座います
rice ball (often triangular, sometimes with a filling and wrapped in nori),御握り
influence,御蔭
blessing,御蔭様
wearing one's hair in braids,御下げ
something unusually large,御化け
haunted house,御化け屋敷
wife,お嫁さん
cake,御菓子
please,御願いします
please,御願いいたします
welcome home,御帰りなさい
a pity,お気の毒
passenger,御客さん
passenger,御客さま
good night,御休みなさい
Shinto shrine,お宮
visiting a shrine,御宮参り
companion,御伴
money,御金
laddie,御兄さん
sonny,御兄ちゃん
rice ball,御結び
to arrive,御見えになる
inquiry,御見舞
used article (esp. clothes),御古
okonomiyaki,御好み焼
don't bother,御構いなく
hot, moistened hand towel,御絞り
note (currency),御札
soup containing rice cakes and vegetables (New Year's dish),御雑煮
afternoon tea,御三時
worship,御参り
confinement,御産
that's all,御仕舞
familiar spirit,御使
older girl,御姐さん
child,御子さん
kid,御子さま
tooth-blackening dye,鉄漿
bowing,御辞儀
name-giving ceremony,お七夜
I'm coming in,御邪魔します
amulet,御守
bobbling the ball,御手玉
being brought to one's knees,御手上げ
self-approved plan,御手盛り
bathroom,御手洗い
maid,御手伝いさん
police officer,御巡りさん
(high-quality) silk crepe (fabric),御召
clothing,御召し物
encouragement,御奨め
yokel,お上りさん
young lady,御嬢さん
weaning ceremony,御食い初め
buttocks,御尻
bed-wetting,御寝小
pickles,御新香
boiled greens in bonito-flavoured soy sauce (vegetable side dish),御したし
sake,御神酒
fugitive from justice,御尋ね者
compliment,御世辞
to become indebted,御世話になる
too bad for you!,御生憎様
pardon me for leaving (before you),お先に
