ditto,同断
mark,らく印
ditto mark,躍字
"as,仝
above",仝
"as above" mark,仝
p-sound,〇
alphabetical,ＡＢＣ順
order,下知
alphabetical order,ＡＢＣ順
CD,ＣＤプレイヤー
player,奏者
CD player,ＣＤプレイヤー
NHK,Ｎ響
Symphony,Ｎ響
Orchestra,Ｎ響
NHK Symphony Orchestra,Ｎ響
skirt,Ｏバック
with,Ｏバック
peek-a-boo,Ｏバック
hole,Ｏバック
in,Ｏバック
rump,Ｏバック
skirt with peek-a-boo hole in rump,Ｏバック
rs232,ＲＳ２３２ケーブル
cable,ＲＳ２３２ケーブル
rs232 cable,ＲＳ２３２ケーブル
tee,Ｔシャツ
shirt,Ｔシャツ
tee shirt,Ｔシャツ
bikini,Ｔバック
thong,蘇維埃
bikini thong,Ｔバック
former,従前
regular,平素
stops,あ・うんの呼吸
at,あ・うんの呼吸
every,端々
station,次
Tōhoku-line,あ・うんの呼吸
Shinkansen,あ・うんの呼吸
(former) regular (stops at every station) Tōhoku-line Shinkansen,あ・うんの呼吸
overt,公然
flagrant,白地
not,明かん
allowed,明かん
not allowed,明かん
dishonest,不純
Jouetsu,論う
line,線路
express,論う
Jouetsu line express Shinkansen,論う
to,配う
garnish,色取り
to garnish,配う
lily-of-the-valley,馬酔木
simply,独り
childlike,アッと言う間に
er,彼の
you,貴所
she,夫子
back-to-front,溢れる
airhead,阿呆陀羅
ah,雨子
saw-edged,𩺊
perch,𩺊
Niphon,𩺊
spinosus,𩺊
saw-edged perch (Niphon spinosus),𩺊
so, ...
act,仕打ち
properly!,いい加減にしなさい
act properly!,いい加減にしなさい
spite,悪念
of,いい歳をして
being,いい歳をして
old,いい歳をして
enough,いい歳をして
know,いい歳をして
better,いい歳をして
(in spite of) being old enough to know better,いい歳をして
no, not at all
be,如何わしい
stylish,如何わしい
to be stylish,如何わしい
whatever,如何なる
the,如何なる場合でも
case,症例
may,如何なる場合でも
whatever the case may be,如何なる場合でも
for,越し
sure,定か
for sure,如何にも
hardly,幾つも
touching,切切
dally,弄りまわす
to dally,弄りまわす
more,今
than,何時もより
usual,お座成り
more than usual,何時もより
very,善く善く
easily,闇々
very easily,いとも簡単に
smart,軽妙
neigh,嘶く
to neigh,嘶く
tease,嘶き
to tease,嘶き
tortuously,厭に
a,畝り
fidget,畝り
to be in a fidget,畝り
whoopsie,狼狽える
nasty,海鷂魚
Japanese,邦語
grenadier,斉魚
anchovy,斉魚
Coilia,斉魚
nasus,斉魚
Japanese grenadier anchovy (Coilia nasus),斉魚
style,姿体
folk,民
song,歌曲
associated,御出でになる
Niigata,御出でになる
Prefecture,御出でになる
style of Japanese folk song associated with Niigata Prefecture,御出でになる
welcome!,おけさ節
blowjob,お座なりになる
huge,長大
breast,胸間
milk,落っこちる
breast milk,落っこちる
trembling,震え
fear,危虞
trembling (with fear),お田
night,御鍋
work,操業
night work,夜働き
fawning,屁
on,置いて
top,上
that,御負けに
on top of that,御負けに
screw,螺旋
to screw,御呪い
nappy,御襁褓
rash,無考え
nappy rash,オムツ気触れ
dressing,繃帯
up,御粧し
dressing up,御粧し
chubby,御目出度う御座います
person,法師
chubby person,御目出度う御座います
rice,飯米
ball,球体
often,往往
triangular, sometimes with a filling and wrapped in nori)
rice ball (often triangular, sometimes with a filling and wrapped in nori)
influence,醇化
blessing,授かりもの
wearing,御下げ
one's,御下げ
hair,毛髪
braids,御下げ
wearing one's hair in braids,御下げ
something,御化け
unusually,特段
large, medium and small (businesses
something unusually large,御化け
haunted,御化け屋敷
house,部族
haunted house,幽霊屋敷
wife,妻室
cake,あま味
please,御願いいたします
welcome,悦ばしい
home,御帰りなさい
welcome home,御帰り
pity,哀みん
a pity,お気の毒
passenger,舟人
good,畏い
good night,御休み
Shinto,お宮
shrine,お宮
Shinto shrine,神社
visiting,参上
visiting a shrine,宮参り
companion,同侶
money,代物
laddie,兄さん
sonny,御兄ちゃん
rice ball,握飯
arrive,御見えになる
to arrive,降る
inquiry,見舞
used,御古
article,論文
esp.,御古
clothes,着物
used article (esp. clothes),御古
okonomiyaki,御好み焼
don't,御構いなく
bother,御構いなく
don't bother,御構いなく
hot,話題
note,書状
currency,幣制
note (currency),御札
soup,御雑煮
containing,御雑煮
cakes,御雑煮
and,御雑煮
vegetables,蔬菜
New,御雑煮
Year's,御雑煮
dish,お皿
soup containing rice cakes and vegetables (New Year's dish),雑煮
afternoon,午すぎ
tea,御三時
afternoon tea,御八つ
worship,拝礼
confinement,入所
that's,御仕舞
all,悉皆
that's all,御仕舞
familiar,身近
spirit,骨っ節
familiar spirit,御使
older,年長
girl,女子
older girl,御姐さん
child,子宝
kid,御子さま
tooth-blackening,鉄漿
dye,鉄漿
tooth-blackening dye,鉄漿
bowing,御辞儀
name-giving,お七夜
ceremony,お七夜
name-giving ceremony,お七夜
I'm,御邪魔します
coming,御邪魔します
I'm coming in,御邪魔します
amulet,魔よけ
bobbling,御手玉
bobbling the ball,御手玉
brought,御手上げ
knees,御手上げ
being brought to one's knees,御手上げ
self-approved,御手盛り
plan,方略
self-approved plan,御手盛り
bathroom,御不浄
maid,側仕え
police,御巡りさん
officer,士官
police officer,御巡りさん
high-quality,御召
silk,絹
crepe,御召
fabric,裂地
(high-quality) silk crepe (fabric),御召
clothing,着類
encouragement,勇気付け
yokel,お上りさん
young,浅い
lady,貴女
young lady,令娘
weaning,乳離れ
weaning ceremony,御食い初め
buttocks,御尻
bed-wetting,御寝小
pickles,新香
boiled,御したし
greens,青菜
bonito-flavoured,御したし
soy,大豆
sauce,出し汁
vegetable,野菜
side,部面
boiled greens in bonito-flavoured soy sauce (vegetable side dish),御したし
sake,御酒
fugitive,逃亡者
from,御尋ね者
justice,当否
fugitive from justice,御尋ね者
compliment,誉め言葉
become,御世話になる
indebted,辱い
to become indebted,世話になる
too,余りにも
bad,横しま
you!,御生憎様
too bad for you!,御生憎様
pardon,許容
me,身共
leaving,発車
before,迄に
pardon me for leaving (before you),お先に
presence,列席
god,天道様
presence (of a god, nobleman
dearie,御前さん
four-legged,お膳
tray,御盆
festive,お膳
food,兵粮
four-legged tray for festive food,お膳
male,男子
senior-citizen,御祖父さん
male senior-citizen,御祖父さん
female,雌性
senior,目上
citizen,本国人
female senior citizen,祖母さん
morning,お早う御座います
good morning,御早う
grandchild,孫
sorry, but ...
have,お待ちどう様
kept,お待ちどう様
waiting,お待ちどう様
I'm sorry to have kept you waiting,お待ちどう様
mother,令堂
one's mother,お母
bless,お大事に
bless you,お大事に
happy,和気靄靄
birthday,誕生日
happy birthday,御誕生日おめでとうございます
notification,禀告
tea ceremony,茶席
cup,御猪口
sake cup,御猪口
blabbermouth,御喋り
temper,風向き
tomboy,於転婆
spiced,御屠蘇
spiced sake,御屠蘇
disservice,土産
bath,御湯
hot bath,御湯
good-value,御徳
catching,手捉み
anything,御凸
fishing,魚釣
not catching anything (in fishing),御凸
woman,女人
old woman,老婦
goodnight,乙
escort,押送
him,彼氏
take,御風呂に入る
shower,御風呂に入る
to take a shower,御風呂に入る
stomach,御中
farewell,別れ
change,改訂
cash,正金
transaction,御返し
change (in a cash transaction),御返し
man,人っ子
innocent,淳良
ways,御坊っちゃん
world,輿地
young man innocent of the ways of the world,坊っちゃん
paper,紙
signature,自署
shogun,将軍
or,乃至
lord,お上
paper with signature of the shogun or lord,墨付き
pounded,御餅
mochi,餠
pounded mochi rice,御餅
cold, strong
cold boiled rice,御冷や
peeing,お漏らし
pants,お漏らし
peeing in one's pants,お漏らし
busy,繁忙
phone,電話
busy (phone),御話中
bowl,御碗
fashionable,目抜き
to be fashionable,御洒落
somewhere,畏まりました
grow,悴む
numb,悴む
to grow numb with cold,悴む
sailfish,旗魚
upset,片口鰯
to be upset,片口鰯
show,供覧
off,かっこ付ける
to show off,見えをはる
I,野生
hope,庶幾
I hope that,搔っ攫う
beyond,敵はない
power,工率
beyond one's power,敵はない
landlady,地主
possibly,事にすると
expresses,かも知れません
sympathy,涕
warning,忠告
expresses sympathy or warning,かも知れません
roaring,揶揄い
laughter,揶揄い
roaring with laughter,高笑い
open-heartedly,機関
totally,万
get,かんかん怒る
mad,かんかん怒る
to get very mad,かんかん怒る
astute,か弱い
lottery,富み
wheel,がっちり屋
lottery wheel,がっちり屋
overly,がらがら蛇
skinny,がらがら蛇
overly skinny person,がらがら蛇
screech,我利勉
with a screech,我利勉
without,歿
fail,聞かん気
without fail,何とぞ
constrained,急度
scrawny,段段
blazingly,ギックリ腰
noisily,限り限り
chewing,限り限り
noisily (chewing),限り限り
spoken,嚔
twice,又と
response,返辞
someone,何ものか
sneezing,嚔
as,と言って
charm,麗質
against,嚔
an,嚔
early,早早
death,落命
spoken twice in response to someone sneezing as a charm against an early death,嚔
giggle,クスクス笑う
to giggle,クスクス笑う
embarrassing,擽ぐったい
shove,擽ぐる
it!,擽ぐる
shove it!,擽ぐる
fed,草臥れる
to get fed up with,いや気が差す
boldly,梔
intimate,睦まじい
to become intimate,食っ付く
hitched,くっ付ける
to get (someone) hitched,くっ付ける
crooked,くつくつ法師
to be crooked,曲る
giddy,隈無く
constantly,行住座臥
changing,競べ
constantly changing,競べ
rickets,痀瘻病
ground-breaking,鍬入れ式
ground-breaking ceremony,鍬入れ式
snoring,くんくん鳴く
grumbling,くんくん鳴く
sound,堅調
snoring or grumbling sound,くんくん鳴く
wild,野育ち
showy,麗麗しい
eructation,けらけら笑う
disgusting!,げらげら笑う
superstitious,げんを担ぐ
to be superstitious,げんを担ぐ
uh...,斯う
if,縦んば
this,こう言う
is,鏡餠
if this is the case,こう言う
sly,悪がしこい
on the sly,こじ付ける
cat,コソ泥
burglar,コソ泥
cat burglar,コソ泥
cover,証拠金
kotatsu,火燵
cover for kotatsu,火燵掛
Kodama,炬燵布団
speciality,御株
e.g.,例えば
restaurants,拘り
speciality (e.g. of restaurants),拘り
obstructed,拘わる
to be obstructed,拘わる
this person,此方
drumming,此方
happen,事がある
occasion,時機
(for something) to happen on occasion,事がある
cooking,煮たき
low,手薄
flame,炎光
sound of cooking something on a low flame,事が出来る
entirely,暉麗
reason,由縁
to be the reason (for),事になる
using,事によって
recently,此の節
because,今日わ
because of this,今日わ
addition,足し前
in addition,剰
kind,懇篤
situation,位地
in this kind of situation,このような場合に
meantime,此の間
in the meantime,此の間
result,成否
as a result,この結果
lately,此の頃
in this case,この場合
now,目下
extent,度合
this extent,此の辺
hey!,零し話
with this,此から
same,これと同じ
the same as this,これと同じ
it,此れ迄
ends,此れ迄
here,当地
it ends here,此れ迄
huddle,此れ等
bubbling,ごった返す
smoke,胡麻化し
mirrors,胡麻化し
smoke and mirrors,胡麻化し
ashcan,塵入
thunder,天雷
appreciate,御苦労さま
your,御苦労さま
efforts,御苦労さま
I appreciate your efforts,御苦労
brothers,御兄弟
sisters,姉妹
brothers and sisters,御兄弟
never,誓って
mind,心緒
never mind,御心配なく
what,御馳走様でした
wonderful,霊妙
meal,御飯
what a wonderful meal,御馳走様でした
caution,要慎
allow,御覧下さい
do,御覧下さい
to allow (someone) to do,御覧下さい
floozy,させ子
indifferently,先
awful,颯っと
